Working,Lazy,time
47,73,1397.056
54,66,1399.073
48,72,1401.08
57,63,1403.104
55,66,1405.105
55,67,1407.143
55,67,1409.218
48,75,1411.225
59,65,1413.243
60,65,1415.258
46,79,1417.279
65,60,1419.343
58,67,1421.346
60,65,1423.408
47,78,1425.438
48,76,1427.491
50,74,1429.497
39,85,1431.542
64,60,1433.586
52,73,1435.589
58,66,1437.644
56,69,1439.702
52,73,1441.736
61,65,1443.737
52,74,1445.792
57,69,1447.792
58,69,1449.843
53,74,1451.874
59,68,1453.917
49,78,1455.961
66,63,1458.019
67,62,1460.037
58,72,1462.059
72,58,1464.095
60,70,1466.105
54,76,1468.13
54,76,1470.174
44,86,1472.207
61,69,1474.266
52,78,1476.326
56,74,1478.35
55,75,1480.394
44,86,1482.399
59,71,1484.439
46,84,1486.448
65,65,1488.5
61,70,1490.535
49,83,1492.541
58,73,1494.56
48,84,1496.617
62,70,1498.646
50,82,1500.705
66,66,1502.73
60,72,1504.746
49,83,1506.801
58,74,1508.857
46,86,1510.87
63,69,1512.921
66,66,1514.928
47,85,1516.946
72,59,1518.948
48,83,1520.966
54,76,1523.019
53,77,1525.043
39,91,1527.091
55,74,1529.136
39,90,1531.191
61,68,1533.21
60,69,1535.262
42,87,1537.268
58,70,1539.296
46,82,1541.339
63,65,1543.403
62,67,1545.459
41,88,1547.487
49,78,1549.502
37,91,1551.546
67,62,1553.615
68,62,1555.671
47,83,1557.724
62,70,1559.771
49,85,1561.796
68,67,1563.839
64,73,1565.87
48,91,1567.922
67,72,1569.993
51,88,1571.998
69,69,1574.022
52,86,1576.027
69,68,1578.029
68,69,1580.12
49,88,1582.181
65,72,1584.266
45,93,1586.322
75,63,1588.37
69,71,1590.375
55,86,1592.427
65,75,1594.504
50,92,1596.566
67,76,1598.629
71,72,1600.687
53,90,1602.733
66,75,1604.804
51,90,1606.804
69,72,1608.836
65,77,1610.926
48,94,1612.931
60,81,1614.996
49,92,1617.003
61,80,1619.081
61,80,1621.11
48,93,1623.127
69,71,1625.167
56,85,1627.195
64,77,1629.243
63,78,1631.247
54,87,1633.255
69,71,1635.291
51,89,1637.358
63,77,1639.406
65,75,1641.408
51,89,1643.42
64,75,1645.494
51,88,1647.51
76,63,1649.533
75,64,1651.559
59,80,1653.618
63,74,1655.66
49,88,1657.665
61,76,1659.731
48,90,1661.801
68,70,1663.868
